feature_type,regressor,alpha,trial,method,coverage,width
Univariate,Ridge,0.1,9,Original_GitHub,0.8985445205479452,195.4744330821948
Univariate,Ridge,0.1,9,MAPIE_Online,0.8978310502283106,175.871251510094
Univariate,Ridge,0.1,9,MAPIE_Batch,0.8159246575342466,100.08868036582635
Univariate,Ridge,0.15000000000000002,0,Original_GitHub,0.8467465753424658,138.01439394432887
Univariate,Ridge,0.15000000000000002,0,Reimplementation,0.8467465753424658,138.01439394432887
Univariate,Ridge,0.15000000000000002,0,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,0,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,1,Original_GitHub,0.8464611872146118,138.37870664597813
Univariate,Ridge,0.15000000000000002,1,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,1,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,2,Original_GitHub,0.846318493150685,139.30130985948088
Univariate,Ridge,0.15000000000000002,2,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,2,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,3,Original_GitHub,0.8468892694063926,138.5269761756081
Univariate,Ridge,0.15000000000000002,3,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,3,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,4,Original_GitHub,0.846175799086758,140.9331099328263
Univariate,Ridge,0.15000000000000002,4,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,4,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,5,Original_GitHub,0.846318493150685,138.6257030119825
Univariate,Ridge,0.15000000000000002,5,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,5,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,6,Original_GitHub,0.8457477168949772,141.0447921627642
Univariate,Ridge,0.15000000000000002,6,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,6,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,7,Original_GitHub,0.8466038812785388,138.90945609472124
Univariate,Ridge,0.15000000000000002,7,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,7,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,8,Original_GitHub,0.8466038812785388,140.1294556861274
Univariate,Ridge,0.15000000000000002,8,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,8,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.15000000000000002,9,Original_GitHub,0.8466038812785388,137.36812453477265
Univariate,Ridge,0.15000000000000002,9,MAPIE_Online,0.846033105022831,127.66620651554861
Univariate,Ridge,0.15000000000000002,9,MAPIE_Batch,0.692208904109589,67.001465962863
Univariate,Ridge,0.2,0,Original_GitHub,0.7962328767123288,101.57905396497544
Univariate,Ridge,0.2,0,Reimplementation,0.7962328767123288,101.57905396497544
Univariate,Ridge,0.2,0,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,0,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,1,Original_GitHub,0.798230593607306,102.69891844534486
Univariate,Ridge,0.2,1,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,1,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,2,Original_GitHub,0.7968036529680366,102.88332778447797
Univariate,Ridge,0.2,2,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,2,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,3,Original_GitHub,0.7973744292237442,102.33853409437262
Univariate,Ridge,0.2,3,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,3,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,4,Original_GitHub,0.7963755707762558,103.97498397445382
Univariate,Ridge,0.2,4,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,4,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,5,Original_GitHub,0.7973744292237442,102.27024174333114
Univariate,Ridge,0.2,5,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,5,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,6,Original_GitHub,0.7960901826484018,104.34048157202334
Univariate,Ridge,0.2,6,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,6,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,7,Original_GitHub,0.7960901826484018,102.78658532867786
Univariate,Ridge,0.2,7,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,7,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,8,Original_GitHub,0.7978025114155252,103.3672933545433
Univariate,Ridge,0.2,8,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,8,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.2,9,Original_GitHub,0.7972317351598174,101.57617651547291
Univariate,Ridge,0.2,9,MAPIE_Online,0.7925228310502284,99.19242534462026
Univariate,Ridge,0.2,9,MAPIE_Batch,0.5837614155251142,49.95960081582213
Univariate,Ridge,0.25,0,Original_GitHub,0.7431506849315068,80.32337718494834
Univariate,Ridge,0.25,0,Reimplementation,0.7431506849315068,80.32337718494834
Univariate,Ridge,0.25,0,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,0,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,1,Original_GitHub,0.7447203196347032,81.23767389351181
Univariate,Ridge,0.25,1,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,1,MAPIE_Batch,0.5176940639269406,42.085635700950725
Univariate,Ridge,0.25,2,Original_GitHub,0.742579908675799,81.04911268145241
Univariate,Ridge,0.25,2,MAPIE_Online,0.7388698630136986,78.84274272935305
Univariate,Ridge,0.25,2,MAPIE_Batch,0.5176940639269406,42.085635700950725
